Syllabus Ref	Q. Num	Chapter Description	Section Description	Mock Question	Stem Graphic	Answer	Answer Status	Correct Answer	Match Formula
1A1	1	Nature of amateur radio, types of licence and call signs	Section 1 – Licensing conditions and station identification	An amateur radio licence may be used for: A. Advertising a retailer of amateur radio equipment B. Controlling a fleet of taxis C. Testing propagation between two amateurs in different countries D. Providing radio communications for a commercial fairground operator			Please type in an answer...	C	FALSE
1A2	1	Nature of amateur radio, types of licence and call signs	Section 1 – Licensing conditions and station identification	HF propagation is NOT affected by the A. sun. B. time of day. C. day of the week. D. frequency used.			Please type in an answer...	C	FALSE
1A3	1	Nature of amateur radio, types of licence and call signs	Section 1 – Licensing conditions and station identification	Which of the following is a foundation licence holder NOT allowed to do? A. Operate a radio transmitter that the licence holder has designed themselves. B. Design and operate a radio receiver. C. Assemble and operate a transmitter designed by an intermediate licence holder D.  Assemble and operate a radio deigned by a commercial company			Please type in an answer...	A	FALSE
1A4	1	Nature of amateur radio, types of licence and call signs	Section 1 – Licensing conditions and station identification	An amateur radio licence holder must, when changing the main station address, immediately notify A. the local police. B. the local council. C. the RSGB. D. Ofcom.			Please type in an answer...	D	FALSE
1A5	2	Nature of amateur radio, types of licence and call signs	Section 1 – Licensing conditions and station identification	When transmitting, you must give your call sign A. When establishing contact and at least every 5 minutes B. When establishing contact and as frequently as is practicable. C. During CQ calls and at the beginning and end of the contact D. At the beginning and end of the contact.			Please type in an answer...	B	FALSE
1B1	3	Operators and supervision	Section 1 – Licensing conditions and station identification	A Foundation licence holder, operating under the supervision of a Full licence holder and using the Full licence holders callsign, must: A. operate subject to the restrictions of the Foundation licence. B. operate in accordance with the supervisor's licence. C. ensure that any contacts are recorded in the log. D. reduce the transmitter's power to 10 watts.			Please type in an answer...	B	FALSE
1C1	3	Messages	Section 1 – Licensing conditions and station identification	You are talking to M3ABC by amateur radio and some friends enter his room. You may also address remarks to these friends A. if they are family members. B. if M3ABC gives permission. C. if they are also licenced radio amateurs. D. but only on the calling channel.			Please type in an answer...	C	FALSE
1C2	3	Messages	Section 1 – Licensing conditions and station identification	Which of the following may NOT be used in an amateur radio transmission? A. A message sent in Morse code B. A message sent containing Q codes. C. A message using secret codes known only to the sender and recipient. D. A message containing data.			Please type in an answer...	C	FALSE
1D1	4	Apparatus, inspection and closedown	Section 1 – Licensing conditions and station identification	When must you carry out tests on your station to ensure that it is not causing undue interference to other radio users? A. If you receive a complaint from a neighbour. B. From time to time. C. Every week. D. When the warranty expires on your transceiver.			Please type in an answer...	B	FALSE
1D2	4	Apparatus, inspection and closedown	Section 1 – Licensing conditions and station identification	Who may require a radio amateur to keep a log of transmissions to assist in identifying interference? A. The local police. B. A person authorised by Ofcom. C. A person authorised by the RSGB. D. A county councillor.			Please type in an answer...	B	FALSE
1F1	4	CEPT and international	Section 1 – Licensing conditions and station identification	A Foundation licence holder may operate in a foreign country if A. this is within the European Union. B. operating in that countries coastal waters C. the country recognises UK amateur radio licences D. given permission by the appropriate authority of that country			Please type in an answer...	D	FALSE
1G1	5	Licence schedule	Section 1 – Licensing conditions and station identification	Which part of an amateur band is not permitted within 100km of Charing Cross, London? A.  1·810-1·830MHz B.  51·00-52·00MHz C.  431·0-432·0MHz D.  438·0-440·0MHz			Please type in an answer...	C	FALSE
1G2	6	Licence schedule	Section 1 – Licensing conditions and station identification	To whom do EMF restrictions apply? A.  Members of the general public. B.  Foundation licence holders. C.  Intermediate licence holders. D.  Full licence holders			Please type in an answer...	A	FALSE
2A1	7	Fundamental theory	Section 2 – Technical aspects	Which of the following is a good conductor of an electric current? A. Rubber B. Plastic C. Glass D. Aluminium			Please type in an answer...	D	FALSE
2A2	7	Fundamental theory	Section 2 – Technical aspects	In a circuit of resistors in series that are connected to a battery, the current flowing each resistor will A. be the same as the battery voltage. B. be different depending on the voltage of the battery. C. be different depending on the value of the resistor. D. be same in each resistor.			Please type in an answer...	D	FALSE
2B1	7	Power	Section 2 – Technical aspects	A 12V mobile transceiver consumes 10W on receive and 100W on transmit. The highest current drawn will be A. 0.83A B. 0.83Ω C. 8.3A D. 8.3Ω			Please type in an answer...	C	FALSE
